row,status,provenance,verification_outcome,problem,config_id,run_id,schema,certificate_path,certificate_source,certificate_exists,certificate_hash,stored_certificate_hash,computed_certificate_hash,hash_ok,metric_score,metric_certificate_score,certificate_score,score_difference,score_agreement,exact_verify_run,exact_verify_ok,prior_exact_verify_ok,prior_audit_match,prior_audit_row,verification_method,source_run_group,error
0,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp,guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/certificates/best_iter000830_95b666a6f2ce.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=0,True,95b666a6f2ce7123dcbd8d81a90bc8a3cc1c8b1c477bd98e624be8783f6a8ab5,95b666a6f2ce7123dcbd8d81a90bc8a3cc1c8b1c477bd98e624be8783f6a8ab5,,True,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,True,False,,True,True,0,matched_passed_old_audit_entry,old_81_matrix,
1,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction,guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/certificates/best_iter006535_e3a079bb3ea1.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=1,True,e3a079bb3ea1444f27b2dd5eb2854f90d76f124a736f99953384ad4c35a563d5,e3a079bb3ea1444f27b2dd5eb2854f90d76f124a736f99953384ad4c35a563d5,,True,0.25,0.25,0.25,0.0,True,False,,True,True,1,matched_passed_old_audit_entry,old_81_matrix,
2,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability,guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/certificates/best_iter000715_6609d52925e3.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=2,True,6609d52925e3d3481b82b3f9c0f47d93ee8ff91909e304942796d8c18e303e11,6609d52925e3d3481b82b3f9c0f47d93ee8ff91909e304942796d8c18e303e11,,True,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,True,False,,True,True,2,matched_passed_old_audit_entry,old_81_matrix,
3,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp,guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/certificates/best_iter002030_2ad1a505e6f3.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=6,True,2ad1a505e6f3ae3a2c5a3ac2e9ee7ed56ecbe2ce23fce5b8edc352ba5815febd,2ad1a505e6f3ae3a2c5a3ac2e9ee7ed56ecbe2ce23fce5b8edc352ba5815febd,,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,True,False,,True,True,6,matched_passed_old_audit_entry,old_81_matrix,
4,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction,guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/certificates/best_iter001775_cfd58d91ab3a.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=7,True,cfd58d91ab3aa0d839537a8c1d2b3c388a62f80c6353acb3f3d850b4842b98de,cfd58d91ab3aa0d839537a8c1d2b3c388a62f80c6353acb3f3d850b4842b98de,,True,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,True,False,,True,True,7,matched_passed_old_audit_entry,old_81_matrix,
5,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability,guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/certificates/best_iter000155_a675828db84c.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=8,True,a675828db84c01c4e4b25df20b2baa1f9371b8bed8e0b9d61a5f6232c75887c5,a675828db84c01c4e4b25df20b2baa1f9371b8bed8e0b9d61a5f6232c75887c5,,True,0.25,0.25,0.25,0.0,True,False,,True,True,8,matched_passed_old_audit_entry,old_81_matrix,
6,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp,guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/certificates/best_iter000000_7533307ab638.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=9,True,7533307ab63878b3b86437eb2261ef4eed4e961b2530b98ff153f6d6d9dd201a,7533307ab63878b3b86437eb2261ef4eed4e961b2530b98ff153f6d6d9dd201a,,True,0.25,0.25,0.25,0.0,True,False,,True,True,9,matched_passed_old_audit_entry,old_81_matrix,
7,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction,guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/first_cut_obstruction/certificates/best_iter000000_5868ee92d1ac.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=10,True,5868ee92d1ac2a86ca089e4d4c3e30dd0e89069dd9dfde64e9e1fd6a09dcbe77,5868ee92d1ac2a86ca089e4d4c3e30dd0e89069dd9dfde64e9e1fd6a09dcbe77,,True,0.25,0.25,0.25,0.0,True,False,,True,True,10,matched_passed_old_audit_entry,old_81_matrix,
8,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability,guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/k_subset_nonseparability/certificates/best_iter000000_852c555d4128.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=11,True,852c555d41280cd5edc149172aad6c51cbe23a07fa4cbd8d02d53fcf13cf2f09,852c555d41280cd5edc149172aad6c51cbe23a07fa4cbd8d02d53fcf13cf2f09,,True,0.25,0.25,0.25,0.0,True,False,,True,True,11,matched_passed_old_audit_entry,old_81_matrix,
9,passed,retained_24h_20260709,passed_prior_exact_audit_match,guillotine,guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp,guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,guillotine_certificate_v1,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/witness_breaking/depth_limited_dp/certificates/best_iter001580_4e6051777469.json,docs/assets/main_81_24h_20260709_1623/postprocess/audit.csv#row=15,True,4e60517774699e7bd6b7969b531c8f54c087da30d3372f273a0a7036f47d4e99,4e60517774699e7bd6b7969b531c8f54c087da30d3372f273a0a7036f47d4e99,,True,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,True,False,,True,True,15,matched_passed_old_audit_entry,old_81_matrix,
